,date,state,cases,deaths,total_population,num_deaths,mean_temp,precipitation,wind_speed,percent_smokers,percent_adults_with_obesity,percent_insufficient_sleep,state-code
6369,2020-03-30,Kentucky,425,11.0,3395703.0,53146.0,56.76166666666666,0.014000000000000002,7.292982456140351,21.26519058905,34.294999999999995,38.346081778400006,21
6370,2020-03-31,Kentucky,590,18.0,3575533.0,56589.0,48.56956521739131,0.047551020408163266,4.572307692307692,21.416172917434782,34.210144927536234,38.350360024869566,21
6371,2020-04-01,Kentucky,674,20.0,3575533.0,56589.0,45.208695652173915,0.10071428571428573,5.361538461538461,21.416172917434782,34.210144927536234,38.350360024869566,21
6372,2020-04-02,Kentucky,747,34.0,3671321.0,58343.0,48.244,0.0002702702702702703,2.4309859154929576,21.44417139817333,34.384,38.34918806201333,21
6373,2020-04-03,Kentucky,747,34.0,3671321.0,58343.0,53.342666666666666,0.00013513513513513514,1.8197183098591547,21.44417139817333,34.384,38.34918806201333,21
6374,2020-04-04,Kentucky,832,37.0,3746221.0,60018.0,58.09240506329114,0.0,2.468,21.50015215372152,34.4873417721519,38.39789373308861,21
6375,2020-04-05,Kentucky,1048,37.0,3969430.0,64796.0,58.93068181818182,0.007101449275362319,3.8797619047619043,21.644245677249998,35.02840909090909,38.40563250026136,21
6376,2020-04-06,Kentucky,1057,45.0,3969430.0,64796.0,59.93068181818182,0.0016666666666666668,2.8202380952380954,21.644245677249998,35.02840909090909,38.40563250026136,21
6377,2020-04-07,Kentucky,1289,66.0,4011528.0,65538.0,65.77362637362637,0.00022471910112359551,5.535632183908047,21.66014524021978,34.98461538461538,38.4069691550989,21
6378,2020-04-08,Kentucky,1393,66.0,4068943.0,66908.0,71.12446808510639,0.000410958904109589,8.516666666666667,21.723796961202126,35.07234042553192,38.44027503494681,21
6379,2020-04-09,Kentucky,1525,77.0,4100683.0,67601.0,58.62736842105264,0.17876923076923076,10.498901098901099,21.79046979929474,35.1178947368421,38.463632504410526,21
6380,2020-04-10,Kentucky,1702,90.0,4109434.0,67775.0,44.484375,0.005066666666666666,8.45,21.77721777520833,35.13645833333333,38.47132221557292,21
6381,2020-04-11,Kentucky,1851,94.0,4172706.0,68999.0,46.57,0.0022105263157894735,3.6906250000000003,21.825228244290003,35.167,38.46621390331,21
6382,2020-04-12,Kentucky,1939,98.0,4204904.0,69599.0,55.72621359223301,0.15471428571428572,6.425252525252525,21.88138937547573,35.275728155339806,38.504636827427184,21
6383,2020-04-13,Kentucky,2025,106.0,4204904.0,69599.0,52.2252427184466,0.9012857142857142,9.716161616161616,21.88138937547573,35.275728155339806,38.504636827427184,21
6384,2020-04-14,Kentucky,2195,115.0,4247236.0,70416.0,41.514150943396224,0.24556818181818182,4.53921568627451,21.892154291,35.27735849056604,38.47612885129246,21
6385,2020-04-15,Kentucky,2295,124.0,4247236.0,70416.0,40.469607843137254,0.0022222222222222222,5.112371134020618,21.892154291,35.27735849056604,38.47612885129246,21
6386,2020-04-16,Kentucky,2418,131.0,4247236.0,70416.0,43.221568627450985,0.000392156862745098,3.8845360824742268,21.892154291,35.27735849056604,38.47612885129246,21
6387,2020-04-17,Kentucky,2497,140.0,4247236.0,70416.0,51.25588235294118,0.008048780487804878,6.654639175257732,21.892154291,35.27735849056604,38.47612885129246,21
6388,2020-04-18,Kentucky,2672,145.0,4247236.0,70416.0,45.44019607843137,0.18942857142857142,6.058762886597939,21.892154291,35.27735849056604,38.47612885129246,21
6389,2020-04-19,Kentucky,2922,149.0,4274719.0,71093.0,47.56923076923077,0.030759493670886078,3.0797979797979798,21.98629588139815,35.326851851851856,38.54812626966667,21
